Kinase Uniprot ID	Kinase Name	Mean Specificity Score	Mean Significance Score	Mean Final Score	Median Final score	Mean Kinase Statistic	Median Kinase Statistic	SD Kinase Statitistic	Mean peptide set size
O95819	HGK/ZC1	1.1679771773705	0.251149863850703	1.4191270412212	1.63827216398241	0.343152154766406	0.386643336270278	0.082185665225463	4.57142857142857
P10398	ARAF	1.16207681357017	0.397940008672038	1.56001682224221	1.5654310959658	0.424575746695939	0.424575746695939	0	3
P15056	BRAF	1.12862903627418	0.378374313221406	1.50700334949558	1.5654310959658	0.410863308661991	0.424575746695939	0.0411373141018425	3.11111111111111
Q13153	PAK1	1.1030523423684	0.301029995663981	1.40408233803238	1.43179827593301	0.304332190959622	0.304332190959622	0	6
P16066	ANP[alpha]	1.21267260135778	0.221848749616356	1.43452135097414	1.4294570601181	0.191502173611731	0.192251213905738	0.0058043165855873	22.8888888888889
P17612	PKA[alpha]	1.21985128496842	0.0731446676012684	1.29299595256969	1.31239970263509	0.139695839939522	0.131555249621848	0.0125064445580407	49.7777777777778
P31749	Akt1/PKB[alpha]	0.959480847763518	0.167213056529217	1.12669390429273	1.16974503870869	0.15558850143082	0.160864547155963	0.014706427564522	28.2222222222222
Q00535	CDK5	0.863304778845086	0.216096420727265	1.07940119957235	1.07621733432603	-0.258258063024385	-0.258258063024385	0	6
Q15139	PKD1	0.900979744008167	0.152427340857888	1.05340708486606	1.06606751018314	0.271960079469682	0.271960079469682	0	6
Q14164	IKK[epsilon]	0.848453072321682	0.152427340857888	1.00088041317957	1.04521737121002	0.283021805225133	0.290004746351727	0.0138563442305787	4.77777777777778
Q9BWU1	CDK11	0.942624545597654	0.0958256317158365	1.03845017731349	1.02394362440971	-0.370271717166398	-0.370271717166398	0	3
P48729	CK1[alpha]	0.83957603878289	0.168129278262865	1.00770531704575	0.98216562546293	0.22186881341163	0.222706069098128	0.0141733449827949	8
Q9UIK4	DAPK2	0.796173032109201	0.152427340857888	0.948600372967088	0.942912326315257	0.331455665622909	0.331455665622909	0	3
P42345	mTOR/FRAP	0.730408772956059	0.221848749616356	0.952257522572415	0.938547520912807	0.254110266802688	0.211026428873998	0.0630411672538646	4.88888888888889
Q05513	PKC[zeta]	0.616017821507862	0.138508860616564	0.754526682124425	0.897319372404363	-0.173762064924204	-0.210982382921344	0.0738580380783731	8.55555555555556
P31751	Akt2/PKB[beta]	0.732462620821275	0.127271025683643	0.859733646504917	0.886310617173205	0.140884375847462	0.137522670263734	0.010505216512572	25.8888888888889
P53778	p38[gamma]	0.534939753128791	0.128882557157569	0.66382231028636	0.864625610927662	-0.185039653873439	-0.249194128959444	0.127903792046559	6.22222222222222
Q16512	PKN1/PRK1	0.668444061017032	0.105704933510408	0.774148994527441	0.861406816513719	-0.224050409913362	-0.255367397101543	0.0461763309258133	6
P05771	PKC[beta]	0.723810253447505	0.0990869322623309	0.822897185709836	0.824929082998651	-0.203977887305156	-0.203977887305156	0	8
Q00534	CDK6	0.60581163269162	0.207846180960743	0.813657813652363	0.787279845582158	-0.238601381939852	-0.222142590036534	0.0493763757099546	3.88888888888889
