Kinase Uniprot ID	Kinase Name	Mean Specificity Score	Mean Significance Score	Mean Final Score	Median Final score	Mean Kinase Statistic	Median Kinase Statistic	SD Kinase Statitistic	Mean peptide set size
Q9BWU1	CDK11	2.11291141495868	0.96657624451305	3.07948765947173	3.06348625752111	-3.12152439397136	-3.12152439397136	0	3
P05771	PKC[beta]	1.77154010145676	0.96657624451305	2.73811634596981	2.76245626185713	-1.77723582725875	-1.77723582725875	0	8
Q05513	PKC[zeta]	1.7235451859665	0.96657624451305	2.69012143047955	2.76245626185713	-1.71518059772004	-1.79386974275193	0.156472886934664	8.55555555555556
Q00534	CDK6	1.67163998685166	0.96657624451305	2.63821623136471	2.58636500280144	-2.44116126030973	-2.35611586860203	0.255136175123111	3.88888888888889
P11802	CDK4	1.54042997108083	0.96657624451305	2.50700621559389	2.51941821317083	-2.26953640673608	-2.35611586860203	0.259738385597857	4.22222222222222
Q00535	CDK5	1.60092373710379	0.96657624451305	2.56749998161684	2.51941821317083	-1.89022170756009	-1.89022170756009	0	6
P50750	CDK9	1.55159764374342	0.96657624451305	2.51817388825647	2.48945498979339	-1.82496667346274	-1.78868294558934	0.0544255918100906	6.66666666666667
Q16539	MAPK14	1.15478760874821	0.96657624451305	2.12136385326127	2.36451625318509	-1.17169350663207	-1.33803188168576	0.314810478959379	9.88888888888889
P06493	CDC2/CDK1	1.49986191461372	0.96657624451305	2.46643815912677	2.34332695411515	-1.55572097645507	-1.57474888462778	0.11826087443701	9.55555555555556
P24941	CDK2	1.36911796545646	0.96657624451305	2.33569420996951	2.34332695411515	-1.35677569049626	-1.30285967948604	0.116527216524698	11.8888888888889
P28482	ERK2	1.17803199854657	0.891671086667385	2.06970308521396	2.26760624017703	-1.15801974308945	-1.26935743451948	0.300086988942831	11.5555555555556
Q00526	CDK3	1.30773474340038	0.96657624451305	2.27431098791343	2.26760624017703	-1.58855934835671	-1.73745070388703	0.184730935695042	7.77777777777778
Q92772	CDKL2	1.18045606445813	0.96657624451305	2.14703230897118	2.14703230897118	-2.20845104807941	-2.20845104807941	NA	4
P50613	CDK7	1.18458501102331	0.96657624451305	2.15116125553636	2.13406733180681	-1.38462876492812	-1.3160409433934	0.166092067602165	9.55555555555556
P24723	PKC[eta]	1.32390177968647	0.96657624451305	2.29047802419952	2.04229695845117	-1.36086363676121	-1.20290187186622	0.431487386519232	14
P41743	PKC[iota]	1.07427687966974	0.96657624451305	2.04085312418279	2.02209357236288	-1.19194899783876	-1.18167720025544	0.12832071358273	14.2222222222222
P45984	JNK2	1.18135791292467	0.96657624451305	2.14793415743772	2.02209357236288	-1.20386642030908	-1.13949550618115	0.132857808628084	14.2222222222222
P05129	PKC[gamma]	1.21160909009668	0.96657624451305	2.17818533460973	2.01233373507373	-1.25739329060852	-1.17034460478992	0.234201334287721	13.2222222222222
P53779	JNK3	1.06782768140425	0.96657624451305	2.0344039259173	1.99344839091335	-1.09533451960365	-1.07392491623867	0.0444518117946164	18.1111111111111
P45983	JNK1	1.04730612220133	0.96657624451305	2.01388236671438	1.97535016882056	-1.08257348352171	-1.07392491623867	0.0275442865756626	18.5555555555556
Q13464	ROCK1	0.808952537155543	0.96657624451305	1.77552878166859	1.75706122997042	-1.09412344936668	-1.05860760985225	0.0845918653547831	4.71428571428571
O00141	SGK1	0.764088012567	0.96657624451305	1.73066425708005	1.7310477976055	-1.07383792560113	-1.07383792560113	0	3
Q04759	PKC[theta]	0.793501035197814	0.96657624451305	1.76007727971086	1.7310477976055	-0.976719138730487	-0.934389433689122	0.0609189305608942	21.3333333333333
O15264	p38[delta]	0.535365233161813	0.799100034741207	1.33446526790302	1.64435694977913	-0.839961820889105	-0.989126691868872	0.207639138696161	12.2222222222222
Q96GD4	AurB/Aur1	0.66976714334824	0.96657624451305	1.63634338786129	1.62022327006241	-0.9577014141904	-0.958919660770073	0.136920032864662	4.11111111111111
Q05655	PKC[delta]	0.639386962244135	0.96657624451305	1.60596320675719	1.61246780536565	-0.917195377364564	-0.919231947342657	0.00432651892447552	21.7777777777778
P27361	ERK1	0.781543064533031	0.96657624451305	1.74811930904608	1.6086413975126	-0.998596630112052	-0.951042499814842	0.158261860446113	11.4444444444444
Q02156	PKC[epsilon]	0.696821524831179	0.96657624451305	1.66339776934423	1.60484840849546	-0.979257560019373	-0.918883053981598	0.1508706580377	19
Q9UQM7	CaMK2[alpha]	0.641188760044319	0.96657624451305	1.60776500455737	1.60108825962215	-0.929381294704962	-0.929381294704962	0	3
Q15759	p38[beta]	0.741902154253404	0.96657624451305	1.70847839876645	1.59366424154294	-1.05317730559233	-0.936650664291329	0.233622648703018	4.8
O75676	MSK2	0.567197006964742	0.96657624451305	1.53377325147779	1.54169460788198	-0.845290854107439	-0.845290854107439	0	3
O76039	CDKL5	0.580162053885438	0.901962291513817	1.48212434539926	1.52566716244783	-0.851677460702841	-0.812172486446874	0.170469227709951	5.28571428571429
Q8NI60	ADCK3	0.520140061694099	0.96657624451305	1.48671630620715	1.48945498979339	-0.830193092752292	-0.847277868250363	0.0407540482173989	8.77777777777778
O75116	ROCK2	0.651520051845997	0.854398858560169	1.50591891040617	1.48085481803147	-1.01626457004331	-0.794625497612125	0.474058839506165	4.8
O14965	AurA/Aur2	0.499046296096334	0.935415859526139	1.43446215562247	1.47521455067878	-0.790586514200482	-0.799873196816844	0.0278600478490857	5.11111111111111
P11309	Pim1	0.513829131621293	0.96657624451305	1.48040537613434	1.47521455067878	-0.797216535762486	-0.78876740921481	0.0146852341107616	58.5555555555556
Q13164	ERK5	0.772962557329782	0.96657624451305	1.73953880184283	1.46964659643984	-0.961369901812113	-0.866844956338323	0.320318211003237	8.66666666666667
O75582	MSK1	0.489376700263205	0.96657624451305	1.45595294477626	1.45335864444511	-0.794649225362628	-0.794649225362628	0	8
P51812	RSK2	0.467519701430012	0.96657624451305	1.43409594594306	1.42003358103492	-0.778786359366081	-0.778786359366081	0	8
Q16512	PKN1/PRK1	0.706659877299009	0.673664139071249	1.38032401637026	1.40884631606171	-1.01065580908941	-1.04443967033182	0.0669417089807525	6
O14757	CHK1	0.435029954957967	0.869858045584226	1.30488800054219	1.37108002268748	-0.753754183686161	-0.743790224500594	0.0594215396508937	9
P49137	MAPKAPK2	0.346759204476012	0.916320947735869	1.26308015221188	1.31724138580091	-0.759791798407189	-0.763674598623797	0.0296651844433155	28.7777777777778
P53778	p38[gamma]	0.59355993022739	0.772220677103626	1.36578060733102	1.19079055546249	-0.863052728346451	-0.803652533297937	0.255041299774691	6.22222222222222
