Term,Overlap,P.value,Adjusted.P.value,Old.P.value,Old.Adjusted.P.value,Odds.Ratio,Combined.Score,Genes
Muscle Contraction (GO:0006936),3/94,7.794760240599194e-5,0.029386246107058964,0,0,43.716483516483514,413.53492700023463,RYR1;FXYD1;SCN7A
TOR Signaling (GO:0031929),2/29,3.0615524060429166e-4,0.05234417544120871,0,0,92.38425925925924,747.5196825305202,RPS6;MTOR
Metal Ion Transport (GO:0030001),3/171,4.559518056764469e-4,0.05234417544120871,0,0,23.58809523809524,181.4661284599609,RYR1;KCNA1;SCN7A
Negative Regulation Of Macromolecule Metabolic Process (GO:0010605),3/186,5.826710270622475e-4,0.05234417544120871,0,0,21.63825136612022,161.1592685129799,RBL2;PPP2CB;REL
Skin Development (GO:0043588),2/68,0.0016824805132125557,0.05234417544120871,0,0,37.71969696969697,240.93403928127228,DSP;RYR1
Cellular Response To Hypoxia (GO:0071456),2/72,0.0018837899979258688,0.05234417544120871,0,0,35.55714285714286,223.10221103497707,BAD;MTOR
Cellular Response To Decreased Oxygen Levels (GO:0036294),2/73,0.0019358238702516727,0.05234417544120871,0,0,35.054577464788736,218.99373701664896,BAD;MTOR
Organonitrogen Compound Catabolic Process (GO:1901565),2/78,0.00220617578300177,0.05234417544120871,0,0,32.74013157894737,200.2548405361148,BCKDK;MTOR
Positive Regulation Of Cytoskeleton Organization (GO:0051495),2/79,0.0022622747962299803,0.05234417544120871,0,0,32.313311688311686,196.83280353584135,VASP;GPSM2
Activation Of Protein Kinase Activity (GO:0032147),2/81,0.0023764924719155735,0.05234417544120871,0,0,31.492088607594937,190.2792816750188,ADRB2;MTOR
Calcium Ion Transmembrane Import Into Cytosol (GO:0097553),2/83,0.002493395549670354,0.05234417544120871,0,0,30.71141975308642,184.08762281714473,RYR1;SCN7A
Supramolecular Fiber Organization (GO:0097435),3/316,0.002673439640569323,0.05234417544120871,0,0,12.568051118210862,74.4580285816208,DSP;MARCKS;STMN2
Glucose Homeostasis (GO:0042593),2/87,0.0027352221778139145,0.05234417544120871,0,0,29.26029411764706,172.6808725566614,BAD;RPS6
Negative Regulation Of Gene Expression (GO:0010629),3/336,0.003179688346628717,0.05234417544120871,0,0,11.8012012012012,67.86837875071551,RBL2;PPP2CB;REL
Protein Modification Process (GO:0036211),4/711,0.003254284016859849,0.05234417544120871,0,0,7.789452414629218,44.61629305451239,DSP;BCKDK;PPP2CB;MTOR
Positive Regulation Of Supramolecular Fiber Organization (GO:1902905),2/96,0.003318106861531702,0.05234417544120871,0,0,26.4468085106383,150.96792713266765,VASP;STMN2
Positive Regulation Of Mitochondrial Membrane Potential (GO:0010918),1/5,0.0044922927083929694,0.05234417544120871,0,0,293.79411764705884,1588.072397289777,BAD
Type B Pancreatic Cell Proliferation (GO:0044342),1/5,0.0044922927083929694,0.05234417544120871,0,0,293.79411764705884,1588.072397289777,BAD
Cellular Response To Magnesium Ion (GO:0071286),1/5,0.0044922927083929694,0.05234417544120871,0,0,293.79411764705884,1588.072397289777,KCNA1
Ventricular Compact Myocardium Morphogenesis (GO:0003223),1/5,0.0044922927083929694,0.05234417544120871,0,0,293.79411764705884,1588.072397289777,DSP
Regulation Of Pentose-Phosphate Shunt (GO:0043456),1/5,0.0044922927083929694,0.05234417544120871,0,0,293.79411764705884,1588.072397289777,MTOR
Bundle Of His cell-Purkinje Myocyte Adhesion Involved In Cell Communication (GO:0086073),1/5,0.0044922927083929694,0.05234417544120871,0,0,293.79411764705884,1588.072397289777,DSP
Positive Regulation Of Multicellular Organismal Process (GO:0051240),3/387,0.00472656873090475,0.05234417544120871,0,0,10.207291666666666,54.65551245509484,BAD;ADRB2;MTOR
Cardiac Muscle Cell-Cardiac Muscle Cell Adhesion (GO:0086042),1/6,0.0053884659389882355,0.05234417544120871,0,0,235.0235294117647,1227.644124299904,DSP
Cellular Response To Caffeine (GO:0071313),1/6,0.0053884659389882355,0.05234417544120871,0,0,235.0235294117647,1227.644124299904,RYR1
Release Of Sequestered Calcium Ion Into Cytosol By Sarcoplasmic Reticulum (GO:0014808),1/6,0.0053884659389882355,0.05234417544120871,0,0,235.0235294117647,1227.644124299904,RYR1
Response To Alkaloid (GO:0043279),1/6,0.0053884659389882355,0.05234417544120871,0,0,235.0235294117647,1227.644124299904,RYR1
Response To Caffeine (GO:0031000),1/6,0.0053884659389882355,0.05234417544120871,0,0,235.0235294117647,1227.644124299904,RYR1
