Term,Overlap,P.value,Adjusted.P.value,Old.P.value,Old.Adjusted.P.value,Odds.Ratio,Combined.Score,Genes
Long-term potentiation,4/67,3.396718615367122e-7,4.7214388753603e-5,0,0,90.33560090702947,1345.5745932880905,PRKCB;RPS6KA1;CACNA1C;RAF1
Fc gamma R-mediated phagocytosis,4/97,1.5098738363947304e-6,8.170632630785139e-5,0,0,61.10291858678955,818.9920199027146,VASP;MARCKS;PRKCB;RAF1
Chemical carcinogenesis,5/239,1.7634458915363608e-6,8.170632630785139e-5,0,0,32.45890861275477,430.0234364387223,PRKCB;RPS6KA1;CACNA1C;ADRB2;RAF1
Oxytocin signaling pathway,4/154,9.51017838964625e-6,3.3047869904020716e-4,0,0,37.775238095238095,436.80066593956695,CDKN1A;PRKCB;CACNA1C;RAF1
cGMP-PKG signaling pathway,4/167,1.3095972569790566e-5,3.6406803744017775e-4,0,0,34.739702015775634,390.5856196264213,VASP;CACNA1C;ADRB2;RAF1
GnRH secretion,3/64,2.4640226795251963e-5,5.708319207566705e-4,0,0,65.31475409836065,693.0633606976623,PRKCB;CACNA1C;RAF1
Non-small cell lung cancer,3/72,3.511295954409851e-5,6.895827945410313e-4,0,0,57.71884057971015,592.0187007331773,CDKN1A;PRKCB;RAF1
Glioma,3/75,3.968821839085072e-5,6.895827945410313e-4,0,0,55.30555555555556,560.4917293042834,CDKN1A;PRKCB;RAF1
ErbB signaling pathway,3/85,5.77270311363056e-5,8.915619253273866e-4,0,0,48.53658536585366,473.70663862607273,CDKN1A;PRKCB;RAF1
GnRH signaling pathway,3/93,7.550237601954301e-5,0.001049483026671648,0,0,44.20444444444445,419.5596960451344,PRKCB;CACNA1C;RAF1
Progesterone-mediated oocyte maturation,3/100,9.371291441807692e-5,0.0011841904640102446,0,0,41,380.2862565875762,RPS6KA1;RAF1;AURKA
"Parathyroid hormone synthesis, secretion and action",3/106,1.1142962034774952e-4,0.001272126921226339,0,0,38.6,351.34173063651644,CDKN1A;PRKCB;RAF1
MAPK signaling pathway,4/294,1.1897589910749935e-4,0.001272126921226339,0,0,19.400985221674876,175.3187415530873,PRKCB;RPS6KA1;CACNA1C;RAF1
Serotonergic synapse,3/113,1.347042039591539e-4,0.001337420310737314,0,0,36.13090909090909,322.0141715616055,PRKCB;CACNA1C;RAF1
MicroRNAs in cancer,4/310,1.4590312594336244e-4,0.0013520356337418254,0,0,18.371615312791786,162.26853559374524,CDKN1A;MARCKS;PRKCB;RAF1
"Growth hormone synthesis, secretion and action",3/119,1.5700387890341518e-4,0.0013639711979734194,0,0,34.251724137931035,300.0190737316632,PRKCB;CACNA1C;RAF1
Vascular smooth muscle contraction,3/133,2.18057591126721e-4,0.0017829414803890715,0,0,30.54153846153846,257.48811663353064,PRKCB;CACNA1C;RAF1
Insulin signaling pathway,3/137,2.3795238151637097e-4,0.00183752116837642,0,0,29.623880597014924,247.16506979433777,PRKAR2B;PRKAR2A;RAF1
mTOR signaling pathway,3/154,3.355813903351471e-4,0.0024550428029781815,0,0,26.266225165562915,210.1205040481858,PRKCB;RPS6KA1;RAF1
Hepatitis B,3/162,3.892671636350549e-4,0.0027054067872636315,0,0,24.93459119496855,195.76757582179673,CDKN1A;PRKCB;RAF1
Hepatocellular carcinoma,3/168,4.329664873318467e-4,0.002865825797101271,0,0,24.02060606060606,186.0359963592753,CDKN1A;PRKCB;RAF1
Bladder cancer,2/41,6.144037622474869e-4,0.0038819146796545767,0,0,63.91987179487179,472.6783914538256,CDKN1A;RAF1
Focal adhesion,3/201,7.300181442418315e-4,0.004411848784765852,0,0,19.983838383838386,144.33209705817518,VASP;PRKCB;RAF1
Proteoglycans in cancer,3/205,7.729597242269839e-4,0.004476725069481282,0,0,19.584158415841586,140.3260493897079,CDKN1A;PRKCB;RAF1
Rap1 signaling pathway,3/210,8.288645143685381e-4,0.004608486699889071,0,0,19.106280193236714,135.56772933321614,VASP;PRKCB;RAF1
cAMP signaling pathway,3/216,8.992780652935855e-4,0.004807678887531091,0,0,18.56244131455399,130.19544620156347,CACNA1C;ADRB2;RAF1
Human cytomegalovirus infection,3/225,0.0010118670805575455,0.005209241636944401,0,0,17.8018018018018,122.76047861882788,CDKN1A;PRKCB;RAF1
Calcium signaling pathway,3/240,0.00121873006908223,0.00588298948176716,0,0,16.662447257383967,111.8041194813529,PRKCB;CACNA1C;ADRB2
Endometrial cancer,2/58,0.0012273862947571772,0.00588298948176716,0,0,44.47767857142857,298.12802327286596,CDKN1A;RAF1
VEGF signaling pathway,2/59,0.0012697762309429347,0.005883296536702265,0,0,43.69517543859649,291.39939300135444,PRKCB;RAF1
Long-term depression,2/60,0.0013128624367881993,0.005886705764953538,0,0,42.939655172413794,284.92803390338764,PRKCB;RAF1
Amphetamine addiction,2/69,0.0017317817196253697,0.0070799311478801875,0,0,37.15485074626866,236.2530013272004,PRKCB;CACNA1C
Renal cell carcinoma,2/69,0.0017317817196253697,0.0070799311478801875,0,0,37.15485074626866,236.2530013272004,CDKN1A;RAF1
Renin secretion,2/69,0.0017317817196253697,0.0070799311478801875,0,0,37.15485074626866,236.2530013272004,CACNA1C;ADRB2
Melanoma,2/72,0.0018837899979258688,0.007481337420334164,0,0,35.55714285714286,223.10221103497707,CDKN1A;RAF1
Chronic myeloid leukemia,2/76,0.0020960030142903557,0.007874173486117823,0,0,33.62837837837838,207.41052527927255,CDKN1A;RAF1
Pancreatic cancer,2/76,0.0020960030142903557,0.007874173486117823,0,0,33.62837837837838,207.41052527927255,CDKN1A;RAF1
B cell receptor signaling pathway,2/81,0.0023764924719155735,0.00869295930516486,0,0,31.492088607594937,190.2792816750188,PRKCB;RAF1
Colorectal cancer,2/86,0.0026737657475791204,0.009291335972837444,0,0,29.610119047619047,175.4182632174737,CDKN1A;RAF1
Insulin secretion,2/86,0.0026737657475791204,0.009291335972837444,0,0,29.610119047619047,175.4182632174737,PRKCB;CACNA1C
Gap junction,2/88,0.0027973432696242373,0.0094656614267690075,0,0,28.91860465116279,170.0149390044448,PRKCB;RAF1
GABAergic synapse,2/89,0.0028601279131244485,0.0094656614267690075,0,0,28.58477011494253,167.41782366085732,PRKCB;CACNA1C
Salivary secretion,2/93,0.0031178798401161494,0.01007872785525918,0,0,27.322802197802197,157.66901828082703,PRKCB;ADRB2
Circadian entrainment,2/97,0.003386160098682633,0.010217585240680204,0,0,26.167105263157893,148.84003110829175,PRKCB;CACNA1C
Prostate cancer,2/97,0.003386160098682633,0.010217585240680204,0,0,26.167105263157893,148.84003110829175,CDKN1A;RAF1
Aldosterone synthesis and secretion,2/98,0.003454866951884673,0.010217585240680204,0,0,25.893229166666668,146.76208059313473,PRKCB;CACNA1C
Choline metabolism in cancer,2/98,0.003454866951884673,0.010217585240680204,0,0,25.893229166666668,146.76208059313473,PRKCB;RAF1
Melanogenesis,2/101,0.0036648982381020144,0.010612934481170415,0,0,25.10479797979798,140.8116748697442,PRKCB;RAF1
Insulin resistance,2/108,0.0041776435065928345,0.011824640951169004,0,0,23.43867924528302,128.39727114514832,PRKCB;RPS6KA1
HIF-1 signaling pathway,2/109,0.004253467968046405,0.011824640951169004,0,0,23.21845794392523,126.77325951701552,CDKN1A;PRKCB
Cholinergic synapse,2/113,0.004563160265358056,0.012174764910622098,0,0,22.37725225225225,120.60756830597164,PRKCB;CACNA1C
Glutamatergic synapse,2/114,0.004642176548654469,0.012174764910622098,0,0,22.176339285714285,119.143978155454,PRKCB;CACNA1C
Leukocyte transendothelial migration,2/114,0.004642176548654469,0.012174764910622098,0,0,22.176339285714285,119.143978155454,VASP;PRKCB
Sphingolipid signaling pathway,2/119,0.005046763352945088,0.012754547382897588,0,0,21.2232905982906,112.25015718571794,PRKCB;RAF1
Neurotrophin signaling pathway,2/119,0.005046763352945088,0.012754547382897588,0,0,21.2232905982906,112.25015718571794,RPS6KA1;RAF1
Thyroid hormone signaling pathway,2/121,0.005213013881359714,0.012939445169803577,0,0,20.86449579831933,109.67624832265864,PRKCB;RAF1
Oocyte meiosis,2/129,0.00590303543685089,0.014298554755755716,0,0,19.54232283464567,100.29684030209523,RPS6KA1;AURKA
FoxO signaling pathway,2/131,0.006081753147875876,0.014298554755755716,0,0,19.237403100775193,98.15812364603616,CDKN1A;RAF1
Natural killer cell mediated cytotoxicity,2/131,0.006081753147875876,0.014298554755755716,0,0,19.237403100775193,98.15812364603616,PRKCB;RAF1
Dopaminergic synapse,2/132,0.006172038024067215,0.014298554755755716,0,0,19.088461538461537,97.11686557699232,PRKCB;CACNA1C
Breast cancer,2/147,0.007599635728990646,0.017161015072222674,0,0,17.10086206896552,83.44630647041649,CDKN1A;RAF1
Retrograde endocannabinoid signaling,2/148,0.007699649802744419,0.017161015072222674,0,0,16.982876712328768,82.64853547573618,PRKCB;CACNA1C
Gastric cancer,2/149,0.007800263092908612,0.017161015072222674,0,0,16.866496598639454,81.86319105464948,CDKN1A;RAF1
Adrenergic signaling in cardiomyocytes,2/150,0.007901474565627706,0.017161015072222674,0,0,16.75168918918919,81.09000040913159,CACNA1C;ADRB2
Pathways of neurodegeneration,3/475,0.008329325421513174,0.017633820574403443,0,0,8.266949152542374,39.581927746613026,PRKCB;CACNA1C;RAF1
Cushing syndrome,2/155,0.008416468504225307,0.017633820574403443,0,0,16.200163398692812,77.39733293925609,CDKN1A;CACNA1C
Cellular senescence,2/156,0.008521247395824046,0.017633820574403443,0,0,16.094155844155843,76.69175138060437,CDKN1A;RAF1
Hepatitis C,2/157,0.00862661725942039,0.017633820574403443,0,0,15.98951612903226,75.99661638491506,CDKN1A;RAF1
JAK-STAT signaling pathway,2/162,0.009162295275844844,0.01845737743974541,0,0,15.4859375,72.67021710271118,CDKN1A;RAF1
Influenza A,2/172,0.010277387162359146,0.02040795450811316,0,0,14.56764705882353,66.68790899550402,PRKCB;RAF1
Pathways in cancer,3/531,0.01128278123335316,0.022088825231494216,0,0,7.368939393939394,33.04584291145216,CDKN1A;PRKCB;RAF1
Neutrophil extracellular trap formation,2/189,0.0123044039540048,0.023754335411203708,0,0,13.231951871657754,58.19145194893299,PRKCB;RAF1
Chemokine signaling pathway,2/192,0.012678984355525788,0.024052551357384367,0,0,13.021052631578948,56.873476489999355,PRKCB;RAF1
Kaposi sarcoma-associated herpesvirus infection,2/193,0.012804955398895276,0.024052551357384367,0,0,12.952225130890051,56.44480034874298,CDKN1A;RAF1
Human immunodeficiency virus 1 infection,2/212,0.015302515802612084,0.028360662620841064,0,0,11.76904761904762,49.19153594031784,PRKCB;RAF1
Ras signaling pathway,2/232,0.018140201960317973,0.033177474637949976,0,0,10.734782608695651,43.04244950696947,PRKCB;RAF1
African trypanosomiasis,1/37,0.0327950148043916,0.05770262098494218,0,0,32.591503267973856,111.38077026649428,PRKCB
Aldosterone-regulated sodium reabsorption,1/37,0.0327950148043916,0.05770262098494218,0,0,32.591503267973856,111.38077026649428,PRKCB
Thyroid cancer,1/37,0.0327950148043916,0.05770262098494218,0,0,32.591503267973856,111.38077026649428,CDKN1A
Human papillomavirus infection,2/331,0.03508710698481592,0.06096384838611767,0,0,7.4669452887538,25.01368084854925,CDKN1A;RAF1
