Term,Overlap,P.value,Adjusted.P.value,Old.P.value,Old.Adjusted.P.value,Odds.Ratio,Combined.Score,Genes
Calcium Regulation In Cardiac Cells WP536,5/151,1.816763040384174e-7,2.997659016633887e-5,0,0,52.2550052687039,811.0519894883162,PRKCB;PRKAR2B;PRKAR2A;CACNA1C;ADRB2
Brain Derived Neurotrophic Factor BDNF Signaling Pathway WP2380,4/137,5.984098986695791e-6,4.936881664024028e-4,0,0,42.64017185821697,512.8079664652752,MARCKS;RPS6KA1;KCNA3;RAF1
Kit Receptor Signaling Pathway WP304,3/53,1.3940168663229484e-5,7.667092764776216e-4,0,0,79.728,891.417724071672,PRKCB;RPS6KA1;RAF1
Non Small Cell Lung Cancer WP4255,3/72,3.511295954409851e-5,0.0012062808704682362,0,0,57.71884057971015,592.0187007331773,CDKN1A;PRKCB;RAF1
Glioblastoma Signaling Pathways WP2261,3/82,5.1847122736150155e-5,0.0012062808704682362,0,0,50.3873417721519,497.1825388851601,CDKN1A;PRKCB;RAF1
A Network Map Of Macrophage Stimulating Protein MSP Signaling WP5353,3/82,5.1847122736150155e-5,0.0012062808704682362,0,0,50.3873417721519,497.1825388851601,PRKCB;RPS6KA1;RAF1
ErbB Signaling Pathway WP673,3/90,6.846940948665128e-5,0.0012062808704682362,0,0,45.735632183908045,438.56462487171143,CDKN1A;PRKCB;RAF1
Serotonin And Anxiety Related Events WP3944,2/14,6.917121064943945e-5,0.0012062808704682362,0,0,208.02083333333337,1992.616130054912,PRKCB;PLEK
G Protein Signaling Pathways WP35,3/91,7.076377456637316e-5,0.0012062808704682362,0,0,45.21363636363636,432.06889459705354,PRKCB;PRKAR2B;PRKAR2A
B Cell Receptor Signaling Pathway WP23,3/92,7.310793154352946e-5,0.0012062808704682362,0,0,44.70337078651686,425.73584607558536,PRKCB;RPS6KA1;RAF1
Hippo Signaling Regulation Pathways WP4540,3/98,8.824617249269276e-5,0.0013236925873903911,0,0,41.86736842105263,390.8478036191733,PRKCB;PRKAR2B;PRKAR2A
Serotonin And Anxiety WP3947,2/17,1.0321185160705684e-4,0.0014191629595970317,0,0,166.39166666666668,1527.2636618368022,PRKCB;PLEK
Pathophysiological Roles Of DUX4 In FSHD1 WP5342,2/22,1.7484233445803956e-4,0.0022191527065828095,0,0,124.7625,1079.398480851498,CDKN1A;ADRB2
TGF Beta Signaling Pathway WP366,3/132,2.1325896706951103e-4,0.002513409254747809,0,0,30.77984496124031,260.182131736099,CDKN1A;PRKAR2A;RAF1
FGFR3 Signaling In Chondrocyte Proliferation And Terminal Differentiation WP4767,2/27,2.649630840801269e-4,0.0026928118654048075,0,0,99.785,821.821281893882,CDKN1A;RAF1
Sphingolipid Metabolism In Senescence WP5121,2/28,2.851929338387316e-4,0.0026928118654048075,0,0,95.9423076923077,783.1141815068878,CDKN1A;PRKCB
Lipid Metabolism Pathway WP3965,2/29,3.0615524060429166e-4,0.0026928118654048075,0,0,92.38425925925924,747.5196825305202,PRKAR2B;PRKAR2A
PDGFR Beta Pathway WP3972,2/29,3.0615524060429166e-4,0.0026928118654048075,0,0,92.38425925925924,747.5196825305202,PRKCB;RAF1
Hepatitis B Infection WP4666,3/150,3.1064113801607774e-4,0.0026928118654048075,0,0,26.98639455782313,217.96566022765248,CDKN1A;PRKCB;RAF1
Myometrial Relaxation And Contraction Pathways WP289,3/156,3.485221172083399e-4,0.0026928118654048075,0,0,25.920261437908497,206.3721673192865,PRKCB;PRKAR2B;PRKAR2A
miRNA Regulation Of Prostate Cancer Signaling Pathways WP3981,2/31,3.5027247768592e-4,0.0026928118654048075,0,0,86.00431034482759,684.3190276353239,CDKN1A;RAF1
EGF EGFR Signaling Pathway WP437,3/159,3.6853096049400535e-4,0.0026928118654048075,0,0,25.41794871794872,200.9539424487399,PRKCB;RPS6KA1;RAF1
Insulin Signaling WP481,3/160,3.753616539655186e-4,0.0026928118654048075,0,0,25.254777070063696,199.20009951682317,PRKCB;RPS6KA1;RAF1
Cardiomyocyte Signaling Pathways Converging On Titin WP5344,2/33,3.973053137316762e-4,0.002731474031905274,0,0,80.4475806451613,629.9693586370835,ADRB2;RAF1
Host Pathogen Interaction Of Human Coronaviruses MAPK Signaling WP4877,2/36,4.7330062752558495e-4,0.0031237841416688603,0,0,73.33823529411765,561.461379980425,RPS6KA1;RAF1
IL 5 Signaling Pathway WP127,2/37,5.000799632796284e-4,0.003173584382351488,0,0,71.23928571428571,541.471469858816,RPS6KA1;RAF1
Kisspeptin Kisspeptin Receptor System In The Ovary WP4871,2/39,5.558029199639917e-4,0.003396573399779949,0,0,67.38175675675676,505.03278857308806,PRKCB;RAF1
Bladder Cancer WP2828,2/40,5.847441918510701e-4,0.003445813987693806,0,0,65.60526315789474,488.3876279088855,CDKN1A;RAF1
Common Pathways Underlying Drug Addiction WP2636,2/41,6.144037622474869e-4,0.0034957455438219083,0,0,63.91987179487179,472.6783914538256,PRKCB;RAF1
Interleukin 11 Signaling Pathway WP2332,2/44,7.076805583778768e-4,0.0037744191626010127,0,0,59.345238095238095,430.4617381877485,RPS6KA1;RAF1
Focal Adhesion WP306,3/199,7.091332972159478e-4,0.0037744191626010127,0,0,20.18979591836735,146.4056396816298,VASP;PRKCB;RAF1
Aryl Hydrocarbon Receptor Pathway WP2586,2/46,7.734351437291583e-4,0.0039880249598534725,0,0,56.64204545454545,405.82149239611823,CDKN1A;RAF1
Oncostatin M Signaling Pathway WP2374,2/56,0.0011446998237224415,0.005723499118612208,0,0,46.129629629629626,312.4181218895314,PRKCB;RAF1
Thyroid Stimulating Hormone TSH Signaling Pathway WP2032,2/58,0.0012273862947571772,0.0059564334892627715,0,0,44.47767857142857,298.12802327286596,RPS6KA1;RAF1
MET In Type 1 Papillary Renal Cell Carcinoma WP4205,2/59,0.0012697762309429347,0.005986087945873835,0,0,43.69517543859649,291.39939300135444,CDKN1A;RAF1
TYROBP Causal Network In Microglia WP3945,2/61,0.0013566437662336029,0.006217950595237345,0,0,42.20974576271186,278.70003786815613,PLEK;RPS6KA1
