Term,Overlap,P.value,Adjusted.P.value,Old.P.value,Old.Adjusted.P.value,Odds.Ratio,Combined.Score,Genes
Regulation Of Insulin Secretion R-HSA-422356,4/77,5.96364763568482e-7,8.114693140114164e-5,0,0,77.92172211350294,1116.8063293144362,MARCKS;PRKAR2B;PRKAR2A;CACNA1C
Neuronal System R-HSA-112316,6/386,7.583825364592676e-7,8.114693140114164e-5,0,0,25.792105263157893,363.4643569110734,PRKCB;PRKAR2B;KCNA1;PRKAR2A;RPS6KA1;KCNA3
Integration Of Energy Metabolism R-HSA-163685,4/105,2.073757699394748e-6,1.47928049223492e-4,0,0,56.24045261669024,735.9709024259415,MARCKS;PRKAR2B;PRKAR2A;CACNA1C
Neurotransmitter Receptors And Postsynaptic Signal Transmission R-HSA-112314,4/182,1.837390490652668e-5,9.12519191032085e-4,0,0,31.78812199036918,346.6360910520617,PRKCB;PRKAR2B;PRKAR2A;RPS6KA1
Post NMDA Receptor Activation Events R-HSA-438064,3/61,2.132054184654404e-5,9.12519191032085e-4,0,0,68.70344827586207,738.9632657780077,PRKAR2B;PRKAR2A;RPS6KA1
Activation Of NMDA Receptors And Postsynaptic Events R-HSA-442755,3/74,3.812212524462508e-5,0.001359689133724961,0,0,56.08732394366197,570.6725771438854,PRKAR2B;PRKAR2A;RPS6KA1
CREB1 Phosphorylation Thru Activation Of Adenylate Cyclase R-HSA-442720,2/12,5.022152730310081e-5,0.001535343834694796,0,0,249.65,2471.3020247349314,PRKAR2B;PRKAR2A
Transmission Across Chemical Synapses R-HSA-112315,4/246,5.967567271068344e-5,0.0015963242450107822,0,0,23.305785123966945,226.68572593692943,PRKCB;PRKAR2B;PRKAR2A;RPS6KA1
"Cell Cycle, Mitotic R-HSA-69278",5/523,7.750573203957274e-5,0.001842914072940952,0,0,14.452034452034452,136.790799084987,CDKN1A;PRKCB;PRKAR2B;KIF2C;AURKA
PKA Activation In Glucagon Signaling R-HSA-164378,2/16,9.11177629974979e-5,0.0019499201281464548,0,0,178.28571428571428,1658.6557887027404,PRKAR2B;PRKAR2A
PKA Activation R-HSA-163615,2/17,1.0321185160705684e-4,0.0020079396585372875,0,0,166.39166666666668,1527.2636618368022,PRKAR2B;PRKAR2A
Hemostasis R-HSA-109582,5/576,1.2219419836234996e-4,0.0021340020433114637,0,0,13.0749023305941,117.80354928878276,PRKCB;PRKAR2B;PRKAR2A;PLEK;KIF2C
PKA-mediated Phosphorylation Of CREB R-HSA-111931,2/19,1.2963563814508892e-4,0.0021340020433114637,0,0,146.8014705882353,1313.9880817962558,PRKAR2B;PRKAR2A
GPCR Downstream Signaling R-HSA-388396,5/619,1.7125260013050588e-4,0.00261771831628059,0,0,12.132297669756952,105.21578523335332,PRKCB;PRKAR2B;PRKAR2A;RPS6KA1;ADRB2
ADORA2B Mediated Anti-Inflammatory Cytokine Production R-HSA-9660821,3/131,2.0852947952210103e-4,0.002768598246267281,0,0,31.021875,262.92373431613515,PRKAR2B;PRKAR2A;ADRB2
DARPP-32 Events R-HSA-180024,2/24,2.0868016842799032e-4,0.002768598246267281,0,0,113.4090909090909,961.10890422201,PRKAR2B;PRKAR2A
Cell Cycle R-HSA-1640170,5/654,2.213468808536539e-4,0.002768598246267281,0,0,11.457271542017304,96.42187085871406,CDKN1A;PRKCB;PRKAR2B;KIF2C;AURKA
Factors Involved In Megakaryocyte Development And Platelet Production R-HSA-983231,3/136,2.3287274968603297e-4,0.002768598246267281,0,0,29.84812030075188,249.680075290572,PRKAR2B;PRKAR2A;KIF2C
Signaling By GPCR R-HSA-372790,5/689,2.8199114112326275e-4,0.003176110747388328,0,0,10.851327035537562,88.69478539042689,PRKCB;PRKAR2B;PRKAR2A;RPS6KA1;ADRB2
G Alpha (S) Signaling Events R-HSA-418555,3/153,3.2922931303196065e-4,0.003522753649441979,0,0,26.442666666666668,212.03729330865093,PRKAR2B;PRKAR2A;ADRB2
Glucagon Signaling In Metabolic Regulation R-HSA-163359,2/32,3.734250375722719e-4,0.0038053789543079134,0,0,83.13333333333334,656.1542143574874,PRKAR2B;PRKAR2A
CaM Pathway R-HSA-111997,2/33,3.973053137316762e-4,0.0038216860461685247,0,0,80.4475806451613,629.9693586370835,PRKAR2B;PRKAR2A
Anti-inflammatory Response Favoring Leishmania Infection R-HSA-9662851,3/165,4.107419582330657e-4,0.0038216860461685247,0,0,24.469135802469136,190.7991968166656,PRKAR2B;PRKAR2A;ADRB2
Ca-dependent Events R-HSA-111996,2/35,4.472442885735218e-4,0.0039879282397805695,0,0,75.56439393939394,582.7832554136846,PRKAR2B;PRKAR2A
FCGR3A-mediated IL10 Synthesis R-HSA-9664323,2/38,5.275811191520497e-4,0.004315248549968663,0,0,69.25694444444444,522.6965599068795,PRKAR2B;PRKAR2A
G2/M Transition R-HSA-69275,3/182,5.469165717946331e-4,0.004315248549968663,0,0,22.126256983240225,166.19505756471946,CDKN1A;PRKAR2B;AURKA
DAG And IP3 Signaling R-HSA-1489509,2/39,5.558029199639917e-4,0.004315248549968663,0,0,67.38175675675676,505.03278857308806,PRKAR2B;PRKAR2A
Mitotic G2-G2/M Phases R-HSA-453274,3/184,5.646119598089839e-4,0.004315248549968663,0,0,21.879558011049724,163.64535048765396,CDKN1A;PRKAR2B;AURKA
Glucagon-like Peptide-1 (GLP1) Regulates Insulin Secretion R-HSA-381676,2/42,0.00064478045984749295,0.004519901455107342,0,0,62.31875,457.8309705931631,PRKAR2B;PRKAR2A
Vasopressin Regulates Renal Water Homeostasis Via Aquaporins R-HSA-432040,2/42,0.00064478045984749295,0.004519901455107342,0,0,62.31875,457.8309705931631,PRKAR2B;PRKAR2A
GPER1 Signaling R-HSA-9634597,2/43,6.758731147824064e-4,0.004519901455107342,0,0,60.795731707317074,443.7787597089313,PRKAR2B;PRKAR2A
Voltage Gated Potassium Channels R-HSA-1296072,2/43,6.758731147824064e-4,0.004519901455107342,0,0,60.795731707317074,443.7787597089313,KCNA1;KCNA3
Signal Transduction R-HSA-162582,8/2465,7.317491986962286e-4,0.004745282682454331,0,0,5.706145706145706,41.198786991765175,CDKN1A;PRKCB;PRKAR2B;PRKAR2A;RPS6KA1;STMN2;KIF2C;ADRB2
PLC Beta Mediated Events R-HSA-112043,2/47,8.073799549727844e-4,0.005081744422475761,0,0,55.38055555555555,394.40459836307184,PRKAR2B;PRKAR2A
TP53 Regulates Transcription Of Cell Cycle Genes R-HSA-6791312,2/49,8.773987974909651e-4,0.005364666933230472,0,0,53.0186170212766,373.1741306231756,CDKN1A;AURKA
Aquaporin-mediated Transport R-HSA-445717,2/50,9.13470506242016e-4,0.005430074675994207,0,0,51.911458333333336,363.2898548418271,PRKAR2B;PRKAR2A
G-protein Mediated Events R-HSA-112040,2/52,9.877327017010398e-4,0.00571283238281142,0,0,49.83,344.82850534778163,PRKAR2B;PRKAR2A
Axon Guidance R-HSA-422475,4/519,0.0010267913926663675,0.0057824567902790185,0,0,10.8,74.31821811014713,VASP;PRKAR2A;RPS6KA1;CACNA1C
Nervous System Development R-HSA-9675108,4/545,0.0012309952430328368,0.00675469184638531,0,0,10.267229997359388,68.78974585077997,VASP;PRKAR2A;RPS6KA1;CACNA1C
Leishmania Infection R-HSA-9658195,3/247,0.001323757550111788,0.007082102893098065,0,0,16.178688524590164,107.2207143761236,PRKAR2B;PRKAR2A;ADRB2
AURKA Activation By TPX2 R-HSA-8854518,2/72,0.0018837899979258688,0.009832464867222827,0,0,35.55714285714286,223.10221103497707,PRKAR2B;AURKA
Developmental Biology R-HSA-1266738,5/1073,0.002098567789821781,0.01069270254813955,0,0,6.811437626044367,42.00273129100753,VASP;CDKN1A;PRKAR2A;RPS6KA1;CACNA1C
