Term,Overlap,P.value,Adjusted.P.value,Old.P.value,Old.Adjusted.P.value,Odds.Ratio,Combined.Score,Genes
Protein Kinase Binding (GO:0019901),7/511,1.700547212915254e-7,9.182954949742373e-6,0,0,24.593434343434343,383.34144097424246,CDKN1A;PRKCB;PRKAR2B;PRKAR2A;PLEK;AURKA;ADD2
Protein Serine/Threonine Kinase Inhibitor Activity (GO:0030291),3/32,2.9865982006794387e-6,8.063815141834485e-5,0,0,137.60689655172413,1750.5490084496623,CDKN1A;PRKAR2B;PRKAR2A
Protein Serine/Threonine Kinase Activity (GO:0004674),5/342,1.0130091631894558e-5,1.8234164937410205e-4,0,0,22.420680209997716,257.83782676790156,BCKDK;PRKCB;RPS6KA1;RAF1;AURKA
cAMP-dependent Protein Kinase Inhibitor Activity (GO:0004862),2/8,2.1351432280008236e-5,2.882443357801112e-4,0,0,416.1666666666667,4475.619360309719,PRKAR2B;PRKAR2A
cAMP-dependent Protein Kinase Regulator Activity (GO:0008603),2/10,3.427837406961788e-5,3.702064399518731e-4,0,0,312.09375,3208.634562990342,PRKAR2B;PRKAR2A
Protein Kinase A Catalytic Subunit Binding (GO:0034236),2/12,5.022152730310081e-5,4.519937457279073e-4,0,0,249.65,2471.3020247349314,PRKAR2B;PRKAR2A
Protein Kinase Regulator Activity (GO:0019887),3/103,1.0232080283081646e-4,7.893319075520127e-4,0,0,39.764,365.3276763551449,CDKN1A;PRKAR2B;PRKAR2A
Protein Serine/Threonine/Tyrosine Kinase Activity (GO:0004712),2/26,2.4546687981125164e-4,0.0016569014387259485,0,0,103.94791666666669,864.0513121915725,RPS6KA1;AURKA
Protein Kinase C Binding (GO:0005080),2/36,4.7330062752558495e-4,0.0028398037651535097,0,0,73.33823529411765,561.461379980425,PRKCB;PLEK
Ubiquitin Protein Ligase Binding (GO:0031625),3/271,0.001726747579024974,0.00932443692673486,0,0,14.711940298507464,93.59023848079792,CDKN1A;PRKAR2B;PRKAR2A
Ubiquitin-Like Protein Ligase Binding (GO:0044389),3/289,0.0020745103151959634,0.0094320135643066,0,0,13.773426573426573,85.09264458196093,CDKN1A;PRKAR2B;PRKAR2A
Voltage-Gated Monoatomic Cation Channel Activity (GO:0022843),2/76,0.0020960030142903557,0.0094320135643066,0,0,33.62837837837838,207.41052527927255,KCNA1;CACNA1C
Voltage-Gated Potassium Channel Activity (GO:0005249),2/80,0.002319047399578581,0.009632966121326414,0,0,31.897435897435894,193.50894574053115,KCNA1;KCNA3
Voltage-Gated Channel Activity (GO:0022832),1/7,0.006283877774032595,0.02423781427126858,0,0,195.84313725490196,992.8792720611536,KCNA3
Kinase Binding (GO:0019900),3/460,0.007627444485100777,0.02724441517141926,0,0,8.544857768052516,41.66474715264166,CDKN1A;AURKA;ADD2
Histone H3 Kinase Activity (GO:0140996),1/9,0.008072419310050151,0.02724441517141926,0,0,146.86764705882354,707.7995527019895,PRKCB
Protein Heterodimerization Activity (GO:0046982),2/190,0.012428707649649987,0.03759145967141007,0,0,13.16090425531915,57.74670959747692,AURKA;ADD2
Protein Kinase C Activity (GO:0004697),1/14,0.01253048655713669,0.03759145967141007,0,0,90.3574660633484,395.7287161899813,PRKCB
Cysteine-Type Endopeptidase Inhibitor Activity Involved In Apoptotic Process (GO:0043027),1/19,0.016969630876880012,0.045818003367576035,0,0,65.24183006535948,265.9472259849427,RPS6KA1
Microtubule Plus-End Binding (GO:0051010),1/19,0.016969630876880012,0.045818003367576035,0,0,65.24183006535948,265.9472259849427,KIF2C
Protein Homodimerization Activity (GO:0042803),3/662,0.02033221589119273,0.048106936538790016,0,0,5.864339908952959,22.84482148089672,PLEK;ADRB2;ADD2
High Voltage-Gated Calcium Channel Activity (GO:0008331),1/23,0.02050737145707836,0.048106936538790016,0,0,53.36898395721925,207.44368622737056,CACNA1C
Disordered Domain Specific Binding (GO:0097718),1/23,0.02050737145707836,0.048106936538790016,0,0,53.36898395721925,207.44368622737056,KCNA1
"Phosphatidylinositol-3,4-Bisphosphate Binding (GO:0043325)",1/25,0.02227172987906945,0.048106936538790016,0,0,48.916666666666664,186.10038260880103,PLEK
Nuclear Androgen Receptor Binding (GO:0050681),1/25,0.02227172987906945,0.048106936538790016,0,0,48.916666666666664,186.10038260880103,PRKCB
Voltage-Gated Monoatomic Ion Channel Activity (GO:0005244),1/27,0.02403308675659661,0.04974064750184786,0,0,45.14932126696833,168.33128827465845,KCNA3
Delayed Rectifier Potassium Channel Activity (GO:0005251),1/28,0.0249126411012733,0.04974064750184786,0,0,43.474945533769066,160.52601632867996,KCNA3
Metal Ion Transmembrane Transporter Activity (GO:0046873),1/29,0.02579144685281,0.04974064750184786,0,0,41.92016806722689,153.33191684558912,KCNA1
Potassium Ion Transmembrane Transporter Activity (GO:0015079),1/31,0.02754681494066949,0.051294069199867315,0,0,39.12156862745098,140.51952455455398,KCNA1
Kinase Inhibitor Activity (GO:0019210),1/34,0.030174267482518016,0.05431368146853243,0,0,35.559714795008915,124.48623298308226,CDKN1A
Tubulin Binding (GO:0015631),2/322,0.03336032830455001,0.05811153962728067,0,0,7.68046875,26.116572698733226,STMN2;KIF2C
Monoatomic Ion Gated Channel Activity (GO:0022839),1/40,0.03540907294557409,0.05975281059565628,0,0,30.07993966817496,100.49067723322013,KCNA3
Protein Kinase Inhibitor Activity (GO:0004860),1/45,0.03975101520212152,0.06222392769121081,0,0,26.655080213903744,85.9658295948253,CDKN1A
Potassium Channel Regulator Activity (GO:0015459),1/45,0.03975101520212152,0.06222392769121081,0,0,26.655080213903744,85.9658295948253,ADRB2
Cyclin-Dependent Protein Serine/Threonine Kinase Regulator Activity (GO:0016538),1/46,0.04061718578452446,0.06222392769121081,0,0,26.061437908496732,83.48948444789488,CDKN1A
Voltage-Gated Calcium Channel Activity (GO:0005245),1/47,0.0414826184608072,0.06222392769121081,0,0,25.493606138107417,81.1329113370927,CACNA1C
Nuclear Receptor Coactivator Activity (GO:0030374),1/50,0.04407449493169267,0.06432493854895688,0,0,23.92917166866747,74.70385911458476,PRKCB
SH3 Domain Binding (GO:0017124),1/59,0.05181046820697307,0.07362540218885646,0,0,20.20689655172414,59.815708753826954,VASP
Amyloid-Beta Binding (GO:0001540),1/79,0.0687903633714564,0.09286699055146616,0,0,15.0105580693816,40.178634862671224,ADRB2
Potassium Channel Activity (GO:0005267),1/79,0.0687903633714564,0.09286699055146616,0,0,15.0105580693816,40.178634862671224,KCNA1
Protein Kinase Activator Activity (GO:0030295),1/88,0.07633725672986817,0.10054175276616784,0,0,13.451656524678835,34.60565311468726,CDKN1A
Calcium Channel Activity (GO:0005262),1/91,0.07884002491200945,0.10136574631544072,0,0,13.001307189542484,33.02766894797317,CACNA1C
Monoatomic Cation Channel Activity (GO:0005261),1/105,0.0904351615790966,0.11199856363065731,0,0,11.243212669683258,27.0188131977752,KCNA1
Kinase Activity (GO:0016301),1/106,0.0912580888842393,0.11199856363065731,0,0,11.135574229691876,26.659273431080635,BCKDK
Nuclear Receptor Binding (GO:0016922),1/115,0.0986328580009636,0.11835942960115632,0,0,10.251805985552116,23.74677927740439,PRKCB
Actin Binding (GO:0003779),1/183,0.15255417671306762,0.1790853378805577,0,0,6.399482870071106,12.03253480284285,ADD2
Small GTPase Binding (GO:0031267),1/199,0.16479112467664567,0.18933448367103972,0,0,5.877599524658348,10.597761685556993,RAF1
GTPase Binding (GO:0051020),1/225,0.1843209055323322,0.20736101872387372,0,0,5.188550420168068,8.77423822004505,RAF1
Microtubule Binding (GO:0008017),1/239,0.194657487474515,0.2145204964004859,0,0,4.87988136431043,7.985992898936452,KIF2C
ATP Binding (GO:0005524),1/279,0.2235131736489448,0.24139422754086043,0,0,4.169276343630978,6.2467638903387455,BCKDK
Adenyl Ribonucleotide Binding (GO:0032559),1/309,0.24451112066028127,0.2588941277579449,0,0,3.757448433919022,5.29234540747443,BCKDK
Cadherin Binding (GO:0045296),1/319,0.2513904363966567,0.26105929933498967,0,0,3.6374398816130222,5.022387932343224,VASP
Purine Ribonucleoside Triphosphate Binding (GO:0035639),1/476,0.3519361776123886,0.3585764828503582,0,0,2.415727554179566,2.522757410503016,BCKDK
Sequence-Specific Double-Stranded DNA Binding (GO:1990837),1/715,0.4808522816130252,0.4808522816130252,0,0,1.5874114351623003,1.1622949743214157,KIF2C
